step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
95,9.499999999999982,0.1,0.0,4.077197342151931e-14,5.752284486747744e-14,0.0,2.237093650514715e-13,3.162234928292269e-13,0.0,1.701396818896583e-13,2.405498522268165e-13,0.0,7.949050614529731e-13,1.1237093221318256e-12,0.0,7.157948566675759e-13,1.0122611547734029e-12,1.2730141347365792e-26,1.4473755676757054e-26,3.159370283617775e-25,3.4314092538590036e-25,1.5446271560505272e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,9.799999999999981,0.1,0.0,6.988802578367846e-14,9.882810412110905e-14,0.0,5.694394279019049e-13,8.034447375754238e-13,0.0,1.1429547728558178e-12,1.6161780924620497e-12,0.0,3.6383760417731664e-13,5.144354496192619e-13,0.0,1.7098494768676934e-12,2.4145675836167312e-12,4.4219771963504865e-26,6.5317280639694685e-25,6.618890110674488e-26,7.635814794671966e-25,3.689716152122508e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,10.09999999999998,0.1,0.0,1.1889374772907426e-13,1.6811966311703801e-13,0.0,2.8725842380124776e-13,4.062396056690385e-13,0.0,6.353635451254624e-13,8.943971779099614e-13,0.0,8.172724641346402e-13,1.1523637350179209e-12,0.0,2.48217664757787e-12,3.5003171220624483e-12,9.505594735141232e-26,2.0184341723719771e-25,3.3396714031635344e-25,6.308665049049635e-25,5.356335386585833e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,10.399999999999979,0.1,0.0,3.462678814799495e-14,4.896966791302593e-14,0.0,5.542050214449904e-13,7.837538167153039e-13,0.0,8.467820398149642e-13,1.1952896248907207e-12,0.0,5.239038170526367e-13,7.40169952002037e-13,0.0,6.985278637139366e-13,9.853561022938172e-13,1.9606794196278353e-26,3.5851991147659565e-25,1.3723760476116132e-25,5.153643104340353e-25,1.5073663759057973e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,10.699999999999978,0.1,0.0,1.9720730467079043e-14,2.7888591331644416e-14,0.0,6.217196730978723e-13,8.784130310555748e-13,0.0,9.609498201651034e-13,1.358363616589155e-12,0.0,3.9207986247650306e-13,5.544574578704479e-13,0.0,6.402597579509423e-13,9.014457357474064e-13,1.739464117050579e-26,4.617122784376722e-25,7.686330927979677e-26,5.559702288879748e-25,1.3816285376119922e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,10.999999999999977,0.1,0.0,1.1858600188034874e-13,1.6764962527623582e-13,0.0,2.1997996817507314e-13,3.1091118705857365e-13,0.0,4.3298927151393303e-13,6.108012713449366e-13,0.0,8.459207123327248e-13,1.1957953887743876e-12,0.0,2.517464351379889e-12,3.5567335055481887e-12,9.326835844963739e-26,9.373985462308318e-26,3.577909257767524e-25,5.44799138849473e-25,5.4324833760884875e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,11.399999999999975,0.1,0.0,2.5160035183953815e-14,3.5411377110659536e-14,0.0,5.242983505417119e-13,7.414696789120999e-13,0.0,1.028079294112147e-12,1.453555456232928e-12,0.0,2.6551587583297487e-13,3.7374773794800247e-13,0.0,8.776847960614117e-13,1.2376132238193974e-12,1.468732253800488e-26,5.284735174910652e-25,3.524934015967586e-26,5.784101801887458e-25,1.8939724487887733e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,11.699999999999974,0.1,0.0,3.4781108070545124e-14,4.917785971799064e-14,0.0,3.167827145591509e-13,4.4798729071799753e-13,0.0,6.636788291443627e-13,9.35677570296726e-13,0.0,5.740833315170179e-13,8.113521020662761e-13,0.0,5.91718632238885e-13,8.367120518456009e-13,1.1722880543438047e-26,2.2023479412721604e-25,1.647858357628391e-25,3.967435104334932e-25,1.2768807369512867e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,11.999999999999973,0.1,0.0,1.0297113495777953e-13,1.4560824971538024e-13,0.0,4.527729844717611e-13,6.394098012297961e-13,0.0,7.24691013392359e-13,1.0224348295741833e-12,0.0,6.722929241962991e-13,9.506045617459958e-13,0.0,2.2213150492074096e-12,3.1343362250816954e-12,7.680460033449324e-26,2.6258853244582217e-25,2.2598888796220545e-25,5.653820207425209e-25,4.793417254529763e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,12.299999999999972,0.1,0.0,8.255870196354205e-14,1.1659428003248224e-13,0.0,5.75015054672014e-13,8.130401151645056e-13,0.0,9.40355121366719e-13,1.3294165576302357e-12,0.0,4.647837855000632e-13,6.571778307026867e-13,0.0,1.9063623420790183e-12,2.6955743652268975e-12,5.702061729666915e-26,4.421338771403086e-25,1.080119836318844e-25,6.071664780688622e-25,4.1137749193961685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
