step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
943,9.429999999999843,0.01,0.0,0.008529625144914933,0.0120593221314146,0.0,0.1528374655501694,0.21608408335704699,0.0,0.03344203820550527,0.04728089506862946,0.0,66.84515462985375,94.50676189283652,0.0,0.028501452571630802,0.040295815107385474,0.001303659737009308,0.0005591849596692372,2234.137348744529,2234.1392115892254,4802.113581829796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
974,9.739999999999837,0.01,0.0,0.015811467595837504,0.022354508887453665,0.0,0.2833166242461635,0.40055763048483195,0.0,0.06199190408184566,0.08764515768998923,0.0,123.91165829907548,175.1883087332783,0.0,0.05283348165507663,0.07469683178080679,0.004479697833759135,0.0019214980858463764,7677.049531213419,7677.055932409338,16501.25219156143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1006,10.05999999999983,0.01,0.0,0.0298992945076939,0.04227210666876442,0.0,0.5357483175599115,0.7574496455653729,0.0,0.11722594268246056,0.1657359357473037,0.0,234.3154512369648,331.27897871569564,0.0,0.0999074767055669,0.14125080814926622,0.016018661968750215,0.006870960818895762,27451.865344191214,27451.888233814003,59005.76143627999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1037,10.369999999999823,0.01,0.0,0.05542467761415186,0.07836030658129704,0.0,0.9931230240646444,1.4040934108884495,0.0,0.21730312259389667,0.3072266730366528,0.0,434.35333704977023,614.0957804531974,0.0,0.18519967713989868,0.26183830207308056,0.05504409124567466,0.02361032354452904,94331.41070313564,94331.48935755042,202758.41536118955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069,10.689999999999817,0.01,0.0,0.10480739676047322,0.1481783944565669,0.0,1.8779836575121178,2.65512370106623,0.0,0.4109175821858509,0.5809619307826243,0.0,821.3569206007347,1161.2477127788666,0.0,0.35021035508319903,0.4951330702057585,0.1968286086825483,0.08442662967473274,337313.5955093608,337313.8767645991,725030.7145357867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,10.99999999999981,0.01,0.0,0.1942827170416223,0.27468005094791514,0.0,3.481240623827058,4.92183435807016,0.0,0.7617228046752031,1.0769360341586363,0.0,1522.5590857865,2152.618686949133,0.0,0.6491890969985397,0.9178340562335121,0.6763518639636701,0.29011081558112883,1159093.0848555113,1159094.0513181908,2491385.164174204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131,11.309999999999803,0.01,0.0,0.3601441815207709,0.5091776748598961,0.0,6.453217112331761,9.123662836223067,0.0,1.4120146146810866,1.9963291238957896,0.0,2822.3858720802587,3990.3348426590187,0.0,1.2034095436526333,1.701399896990733,2.324112569429712,0.9968926360364885,3982931.0054591205,3982934.326464326,8561016.666031843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163,11.629999999999797,0.01,0.0,0.681028301878738,0.9628488395956344,0.0,12.202955691158241,17.25273633188986,0.0,2.670102599002404,3.775034285592122,0.0,5337.097630157452,7545.675041447422,0.0,2.2756329265388855,3.2173266758798347,8.31064392053774,3.5647239445996965,14242305.556916146,14242317.43228401,30612786.1789115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1194,11.93999999999979,0.01,0.0,1.262430256083743,1.784844335818933,0.0,22.620763971634062,31.981602351575805,0.0,4.949600917482914,6.997825915182743,0.0,9893.441299571372,13987.507492157025,0.0,4.218367797823013,5.963996691351495,28.55743143718036,12.249274621173852,48940090.37403226,48940131.180738315,105193117.51946814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1226,12.259999999999783,0.01,0.0,2.3872403814700363,3.3751191026765093,0.0,42.7755917198365,60.47682414496057,0.0,9.359635611901163,13.232804368182562,0.0,18708.378120869995,26450.207891071623,0.0,7.976882605933021,11.277845780454541,102.11667327757266,43.80138939378422,175001705.9567235,175001851.87478617,376153269.8472677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1257,12.569999999999776,0.01,0.0,4.4252558630586165,6.256498387666808,0.0,79.29362267889135,112.1066075713535,0.0,17.35006775533339,24.529806704131243,0.0,34679.94283705903,49031.06467938098,0.0,14.786842077240577,20.905876739745366,350.8981883468783,150.5124255573297,601349217.5908409,601349719.0014548,1292555825.5576558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1289,12.88999999999977,0.01,0.0,8.368105440655649,11.830962958399752,0.0,149.94328370642745,211.99224220728368,0.0,32.80876877357068,46.38556849259792,0.0,65579.35344688573,92717.15168602372,0.0,27.961739945807015,39.532760658585595,1254.754151567437,538.2076542188129,2150325799.2557807,2150327592.2175865,4621966832.866324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1320,13.199999999999763,0.01,0.0,15.51205649471679,21.931196624981695,0.0,277.95164680256835,392.9725385116229,0.0,60.818004545505794,85.98547951915938,0.0,121565.22677316933,171870.8858513309,0.0,51.83300961045151,73.28234820563863,4311.646124709226,1849.4148384485811,7389052180.206043,7389058341.267007,15882223110.121635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
