step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,upar_mean,upar_rms,upar_max_abs,dbpar_mean,dbpar_rms,dbpar_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,upar_energy,dbpar_energy,entropy_variance,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
562,9.437680655720834,0.016675618065351838,8.46761896711179e-17,0.99996161842773,6.790194607653373,-7.645793720367777e-16,8.100721364448585,55.066589411453734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796712040107167,0.0,0.0,0.0,6.796712040107167,6.796712040107167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,9.739705562094846,0.017207336161692576,7.936359902593892e-17,0.9999603932302655,6.479518196045973,-7.906002241764298e-16,8.10071011155837,52.49285172178563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796693983236327,0.0,0.0,0.0,6.796693983236327,6.796693983236327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,10.05751036426992,0.016800448358610894,9.237402509576498e-17,0.9999591167478463,6.579305350172016,-8.283304597789254e-16,8.100698387637875,53.319452953273625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79667517055616,0.0,0.0,0.0,6.79667517055616,6.79667517055616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,10.376979359624585,0.01663432715639826,8.760353553682876e-17,0.999957812622375,6.802305449662152,-7.73686670285656e-16,8.100686409829644,55.16692794748563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796655950503572,0.0,0.0,0.0,6.796655950503572,6.796655950503572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,10.69653992014948,0.01670722682153631,8.933825901280557e-17,0.999956507060338,6.878712252381744,-8.638922910364499e-16,8.100674418827193,55.799997984359905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796636709306304,0.0,0.0,0.0,6.796636709306304,6.796636709306304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,10.99954920524744,0.016700417031838072,9.985502008591496e-17,0.9999552658808525,6.769301347060733,-8.534839501805891e-16,8.10066301914977,54.89348121866833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796618416995843,0.0,0.0,0.0,6.796618416995843,6.796618416995843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,11.318475668635774,0.01713437110426695,9.562663161322149e-17,0.9999539705934505,6.5154133621510475,-9.740472317609772e-16,8.100651122514611,52.790184464424385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796599327276811,0.0,0.0,0.0,6.796599327276811,6.796599327276811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,11.636172283705891,0.016841322159973495,9.774082584956822e-17,0.9999526959698974,6.546861753514957,-9.202708040056962e-16,8.100639415666521,53.050690509145895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796580542123013,0.0,0.0,0.0,6.796580542123013,6.796580542123013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,11.938890296060993,0.016639880984125027,1.0446287931897835e-16,0.9999514595009431,6.819438652108248,-9.93129189996722e-16,8.100628059252795,55.308878471978545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796562319310583,0.0,0.0,0.0,6.796562319310583,6.796562319310583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730,12.258413445139688,0.016681716139418167,1.1649752343356745e-16,0.9999501545652256,6.877785064678413,-1.0555792351318871e-15,8.100616074002422,55.79231140115846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796543087476241,0.0,0.0,0.0,6.796543087476241,6.796543087476241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,12.56,0.015289692058123805,1.0814916670542907e-16,0.9999489334445409,6.742389265775511,-1.0824674490095276e-15,8.100604858555066,54.670509968995596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796525090912187,0.0,0.0,0.0,6.796525090912187,6.796525090912187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
