step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
1037,10.369999999999823,0.01,0.0,2.2789683635174104e-13,3.182812334575674e-13,0.0,2.6304905245661785e-13,3.717360336864632e-13,0.0,1.8800565150775105e-10,2.6575390392617105e-10,0.0,2.1260758381989347e-10,3.002876052944431e-10,0.0,7.538671620722583e-11,1.0660067612922877e-10,6.923566901871334e-26,1.767306249942697e-20,2.2600992348866503e-20,4.0274124083962496e-20,8.465218670996036e-20,0.0,0.0,2.432207225438327e-20,2.432207225438327e-20,0.0,0.0,0.0,0.0,0.0,0.0
1069,10.689999999999817,0.01,0.0,1.370496676906052e-13,1.934057623421779e-13,0.0,4.492300285942497e-13,6.28317008823021e-13,0.0,2.1006400078636603e-11,2.9665598352736746e-11,0.0,3.182915453548019e-10,4.4959048302103127e-10,0.0,1.0532520123577194e-12,1.4823294873845012e-12,6.923451606180294e-26,2.2063442213187196e-22,5.065475392217398e-20,5.087545757882191e-20,1.7772825149370399e-19,0.0,0.0,2.9089470275658384e-19,2.9089470275658384e-19,0.0,0.0,0.0,0.0,0.0,0.0
1100,10.99999999999981,0.01,0.0,2.269665138706652e-13,3.171175045193103e-13,0.0,2.6622998129062904e-13,3.761041850260343e-13,0.0,2.0314462856944454e-10,2.8713501564668347e-10,0.0,3.2105259391687727e-10,4.498263730948499e-10,0.0,9.721967828055842e-11,1.3744550046986784e-10,6.923339915310503e-26,2.063387005830879e-20,5.1537384030377646e-20,7.21713233220856e-20,2.491071184223257e-19,0.0,0.0,2.301087109026473e-19,2.301087109026473e-19,0.0,0.0,0.0,0.0,0.0,0.0
1131,11.309999999999803,0.01,0.0,1.2917371973987796e-13,1.8261718502578518e-13,0.0,4.58460172276672e-13,6.398786358272062e-13,0.0,1.6473067163926318e-10,2.328577846318149e-10,0.0,2.5664406915875384e-10,3.627932127252187e-10,0.0,2.559281019321078e-10,3.617833025110068e-10,6.923228226242546e-26,1.356809708936137e-20,3.293308911718162e-20,4.6501255438825255e-20,7.943473111098758e-20,0.0,0.0,-5.470309398624073e-19,-5.470309398624073e-19,0.0,0.0,0.0,0.0,0.0,0.0
1163,11.629999999999797,0.01,0.0,2.260218543641757e-13,3.159313956826701e-13,0.0,2.694086168755024e-13,3.804456051494545e-13,0.0,6.000335971318253e-11,8.479248503581842e-11,0.0,4.02679313391381e-10,5.692228620689688e-10,0.0,3.0293410393004337e-10,4.2824031447006733e-10,6.923112936191345e-26,1.8002015884347874e-21,8.107531471667698e-20,8.287558553624114e-20,1.8543193930799618e-19,0.0,0.0,3.3096283538743403e-19,3.3096283538743403e-19,0.0,0.0,0.0,0.0,0.0,0.0
1194,11.93999999999979,0.01,0.0,1.3076502954435455e-13,1.8482056510849168e-13,0.0,4.566421774480096e-13,6.376175366604003e-13,0.0,2.1440479357803937e-10,3.030547101112662e-10,0.0,1.2669815475492297e-10,1.790533012364141e-10,0.0,1.845673015370108e-10,2.6093557626053295e-10,6.92300125078508e-26,2.298470775462083e-20,8.026211209151205e-21,3.101098819378454e-20,1.116991929078957e-19,0.0,0.0,-2.3754428011115823e-19,-2.3754428011115823e-19,0.0,0.0,0.0,0.0,0.0,0.0
1226,12.259999999999783,0.01,0.0,2.2506294609394732e-13,3.1472299153119116e-13,0.0,2.725841517084159e-13,3.8475998802422113e-13,0.0,1.2989111238374478e-10,1.8361510659928472e-10,0.0,3.791553286622351e-10,5.353635658276405e-10,0.0,3.002716446971858e-11,4.246409647393049e-11,6.922885964513619e-26,8.435850538143306e-21,7.187938162648375e-20,8.031530139348669e-20,2.760327332401393e-19,0.0,0.0,5.131671651635245e-19,5.131671651635245e-19,0.0,0.0,0.0,0.0,0.0,0.0
1257,12.569999999999776,0.01,0.0,1.3235581443571273e-13,1.87010807397244e-13,0.0,4.547952559679938e-13,6.353114363995843e-13,0.0,9.70244164495907e-11,1.371236399832432e-10,0.0,2.0365832283953825e-11,2.8593635305702186e-11,0.0,1.57793749444128e-11,2.2310499521265165e-11,6.922774282768907e-26,4.706868693691803e-21,2.0738356230906787e-22,4.914321483743698e-21,5.1422807661696895e-21,0.0,0.0,-8.733947715205773e-19,-8.733947715205773e-19,0.0,0.0,0.0,0.0,0.0,0.0
1289,12.88999999999977,0.01,0.0,2.2408987900603983e-13,3.134923782217718e-13,0.0,2.757558059575837e-13,3.890470295392132e-13,0.0,2.185762298154128e-10,3.089553677162475e-10,0.0,2.71683538208148e-10,3.7974908521783193e-10,0.0,1.5743419140979204e-10,2.225603472462971e-10,6.92265900027707e-26,2.3887784120160072e-20,3.69059724666491e-20,6.079382581339918e-20,1.1887934423710203e-19,0.0,0.0,3.5510708043829684e-19,3.5510708043829684e-19,0.0,0.0,0.0,0.0,0.0,0.0
1320,13.199999999999763,0.01,0.0,1.3394564890805938e-13,1.8918775748752653e-13,0.0,4.529195794422532e-13,6.329604995457062e-13,0.0,9.595414293048414e-11,1.356470136315975e-10,0.0,2.1984322658315528e-11,3.0693421456023434e-11,0.0,2.932466746079652e-10,4.1453696033424094e-10,6.922547322193801e-26,4.603598772761889e-21,2.416552213724628e-22,4.845323219607574e-21,7.953227759610657e-20,0.0,0.0,-1.2669793086265544e-19,-1.2669793086265544e-19,0.0,0.0,0.0,0.0,0.0,0.0
1351,13.509999999999756,0.01,0.0,2.2874205867410097e-13,3.19331209728522e-13,0.0,2.6001097709639614e-13,3.6754054226933517e-13,0.0,1.3084715619766968e-10,1.8493407924325473e-10,0.0,1.8534931587174986e-10,2.583568804351512e-10,0.0,2.781988040636969e-10,3.9327903121657654e-10,6.922435645912152e-26,8.560489142508683e-21,1.717718444706285e-20,2.5737742813927994e-20,1.6978227998078538e-19,0.0,0.0,2.9090502877938734e-19,2.9090502877938734e-19,0.0,0.0,0.0,0.0,0.0,0.0
1383,13.82999999999975,0.01,0.0,1.3553412241998317e-13,1.9135126191955333e-13,0.0,4.510153228015213e-13,6.305648937639641e-13,0.0,2.1416588510145863e-10,3.027250113848266e-10,0.0,1.315971435734686e-10,1.8575058484554483e-10,0.0,1.2324779346762278e-10,1.7425803554343208e-10,6.922320369059509e-26,2.2933513170645595e-20,8.658904098348051e-21,3.159248649219734e-20,4.0323379044892213e-20,0.0,0.0,-4.043556192081977e-19,-4.043556192081977e-19,0.0,0.0,0.0,0.0,0.0,0.0
