step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
101,10.09999999999998,0.1,0.0,1.0181226186236499e-10,1.4173659941866304e-10,0.0,1.4192771345859174e-10,1.9782591429021615e-10,0.0,2.431379076053172e-10,3.3836177864583045e-10,0.0,2.5782467682985712e-11,3.588295020763074e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,6.815203739701103e-20,2.955802105734587e-20,3.3236781991210124e-22,9.8042426274269e-20,1.312797323991745e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,10.399999999999979,0.1,0.0,1.1288692526318405e-10,1.5714501890302013e-10,0.0,1.0088474323790077e-10,1.399945723321115e-10,0.0,2.7496327903288714e-10,3.826802524237361e-10,0.0,2.8912332323948574e-11,4.0238768991528095e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,8.32239275283335e-20,3.7802402408258666e-20,4.179614802052206e-22,1.2144429141679737e-19,1.6324096357101482e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,10.699999999999978,0.1,0.0,1.219628905292073e-10,1.697243687205101e-10,0.0,1.0772388395851079e-10,1.4954124199321108e-10,0.0,3.0862110060612166e-10,4.295296821160743e-10,0.0,3.24229679445769e-11,4.512450750830513e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,9.713347776036789e-20,4.762349186966694e-20,5.256244251675306e-22,1.4528259405520234e-19,1.9784556070565081e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,10.999999999999977,0.1,0.0,1.3471798314915755e-10,1.874422927573022e-10,0.0,1.748361181971977e-10,2.432792859570514e-10,0.0,3.440798663019698e-10,4.788564519341243e-10,0.0,3.636062745304666e-11,5.0604535758841295e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,1.191437569417125e-19,5.919547719719073e-20,6.61047614389625e-22,1.7900028175329285e-19,2.451055673259507e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,11.399999999999975,0.1,0.0,1.617752948170674e-10,2.2514399707769724e-10,0.0,2.502156903306239e-10,3.488242329051407e-10,0.0,3.991873090519177e-10,5.555242775875994e-10,0.0,4.2365661430088366e-11,5.89617255287507e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,1.725210949196086e-19,7.967525385405558e-20,8.974246342044385e-22,2.530937734078686e-19,3.4283676096200785e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,11.699999999999974,0.1,0.0,1.847330350541111e-10,2.5713918774136546e-10,0.0,2.3887780605886615e-10,3.326842456951447e-10,0.0,4.4933429963396623e-10,6.253282968500127e-10,0.0,4.751247575235707e-11,6.612453528004544e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.2401562818610674e-19,1.0095065641377351e-19,1.1287176760591597e-21,3.2609500227593943e-19,4.389672940155507e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,11.999999999999973,0.1,0.0,2.053846082415684e-10,2.858694187626929e-10,0.0,2.129840810886386e-10,2.959607618040365e-10,0.0,5.060827942704127e-10,7.043313224431303e-10,0.0,5.328511944962766e-11,7.415831183309641e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.759331431894945e-19,1.2805989732827436e-19,1.4196519773805438e-21,4.054126924951494e-19,5.473784143668991e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,12.299999999999972,0.1,0.0,2.257670664846867e-10,3.14183268339325e-10,0.0,2.4078560149425276e-10,3.3453080228570655e-10,0.0,5.675416050253487e-10,7.898680388691532e-10,0.0,5.975964757033765e-11,8.316890084522793e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,3.335399057740388e-19,1.610517367173745e-19,1.7856077388654812e-21,4.963772502302788e-19,6.749385482505223e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,12.599999999999971,0.1,0.0,2.516909785673528e-10,3.5023419203539855e-10,0.0,3.260325057993871e-10,4.5377437424322293e-10,0.0,6.343898801738483e-10,8.828780206996551e-10,0.0,6.702136254716652e-11,9.327501755712426e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,4.158526201468544e-19,2.0122526003349476e-19,2.245931518839367e-21,6.193238116991885e-19,8.439174877168206e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,12.89999999999997,0.1,0.0,2.8573734854387377e-10,3.976490172500254e-10,0.0,4.0412930255990046e-10,5.629952091611201e-10,0.0,7.100371613034052e-10,9.881354247658918e-10,0.0,7.516593806349156e-11,1.0460981087574927e-10,0.0,1.0238493008008255e-12,1.4384048126146475e-12,5.369794677240311e-19,2.5207638521589887e-19,2.824959122482324e-21,7.918808120624123e-19,1.0743772484443399e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
